Sample_ID,Architecture,Tool,Success_Status,Time_s,Mem_MB,Func_Count,Block_Count,IR_Stmt_Count
array_sort,x86-64,ghidra,Success,18.20,783.34,31,53,858
array_sort,x86-64,angr,Success,1.76,109.66,34,73,1157
array_sort,x86-64,llvm,Success,1.30,60.92,0,0,238
hello_test,x86-64,ghidra,Success,16.03,713.76,23,28,333
hello_test,x86-64,angr,Success,1.69,109.28,24,42,344
hello_test,x86-64,llvm,Success,1.44,61.07,0,0,93
fibonacci,x86-64,ghidra,Success,17.10,918.99,27,42,515
fibonacci,x86-64,angr,Success,1.78,109.14,29,59,657
fibonacci,x86-64,llvm,Success,1.38,61.13,0,0,144
string_ops,x86-64,ghidra,Success,16.54,783.99,33,46,694
string_ops,x86-64,angr,Success,1.98,109.04,37,69,857
string_ops,x86-64,llvm,Success,1.31,60.98,0,0,202
calculator,x86-64,ghidra,Success,15.19,802.51,27,42,628
calculator,x86-64,angr,Success,1.71,109.00,28,56,856
calculator,x86-64,llvm,Success,1.51,61.20,0,0,187
simple_hello,x86-64,ghidra,Success,13.88,839.69,23,28,333
simple_hello,x86-64,angr,Success,1.68,109.26,24,42,344
simple_hello,x86-64,llvm,Success,1.35,61.11,0,0,93
